MTV,#genre#
1-10首车载,https://vd3.bdstatic.com/mda-nb6afsyti2t91p54/sc/cae_h264_delogo/1644221195521496576/mda-nb6afsyti2t91p54.mp4
2-2021年最火伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
3-2021年网络火爆伤感情歌6首,https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
4-7首「伤感情歌」,https://vd2.bdstatic.com/mda-nbdj7sp20st0jd9d/sc/cae_h264_delogo/1644847557994341172/mda-nbdj7sp20st0jd9d.mp4
5-《人间惊鸿客》,https://vd3.bdstatic.com/mda-mh2bbyjcqjxjhzkd/1080p/cae_h264/1627978577559447916/mda-mh2bbyjcqjxjhzkd.mp4
6-《唱着情歌流着泪》,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
7-《拈花一笑》《对面的小姐姐》《想你了小哥哥》《一朵情花开》,https://vdse.bdstatic.com//7cfaf27a4db89583e069a40fbc2ed84b.mp4
8-《爱你到最后一刻》,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
9-《爱难求情难断…》,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
10-《经典老歌》伤感女声篇,https://vd3.bdstatic.com/mda-ig8mrb0k4jjc5ydt/sc/mda-ig8mrb0k4jjc5ydt.mp4
11-《野狼的士高》,https://vd2.bdstatic.com/mda-ncp47pjrm7kqjfwq/720p/h264_delogo/1648091187992655346/mda-ncp47pjrm7kqjfwq.mp4
12-一首伤感歌曲,https://vd3.bdstatic.com/mda-nbr5d212a9mkb4vp/cae_h264_delogo/1645848373794241498/mda-nbr5d212a9mkb4vp.mp4
13-英雄泪,http://mobi.kuwo.cn/tmevideo/tme1256769.mp4
14-ADELE-makeyoufeelmylove,http://em.21dtv.com/songs/60084745.mkv
15-ADELE-makeyoufeelmylove演唱会,http://em.21dtv.com/songs/60067940.mkv
16-BEYOND-请将手放开,http://em.21dtv.com/songs/60035529.mkv
17-BEYOND-醒你,http://em.21dtv.com/songs/60051184.mkv
18-FIR-流浪者之歌演唱会,http://em.21dtv.com/songs/60027684.mkv
19-MATZKA-青苹果乐园演唱会,http://em.21dtv.com/songs/60064733.mkv
20-SOLER-天才白痴梦演唱会,http://em.21dtv.com/songs/60041752.mkv
21-AT17+林一峰-朦胧夜雨里演唱会,http://em.21dtv.com/songs/60029444.mkv
22-一句再会-陈思安,http://txmov2.a.yximgs.com/upic/2020/11/07/23/BMjAyMDExMDcyMzM3MTdfMTU0MDc1NjUwOF8zODg5OTQ0NTkxMl8yXzM=_b_B75778f52a4759d91ee9275fffb96812f.mp4
23-TAE-人生马戏团,http://em.21dtv.com/songs/60090439.mkv
24-一砖一瓦-杨哲,http://txmov2.a.yximgs.com/upic/2020/11/07/23/BMjAyMDExMDcyMzQxMzZfMTU0MDc1NjUwOF8zODg5OTUwODg5MF8yXzM=_b_B41249b6fddaf4b4ef4bb5aee7c4f431c.mp4
25-TWINS-恋爱大过天演唱会,http://em.21dtv.com/songs/60026998.mkv
26-两个世界,http://mobi.kuwo.cn/tmevideo/tme1932603.mp4
27-TWINS-神奇两女侠演唱会,http://em.21dtv.com/songs/60038485.mkv
28-两个人-蔡妍-BerryGoodh,ttps://vd2.bdstatic.com/mda-iffus60ju99vp5kr/sc/mda-iffus60ju99vp5kr.mp4#
29-乌兰图雅-蓝色的故乡演唱会,http://em.21dtv.com/songs/60068412.mkv
30-人生如歌,http://mobi.kuwo.cn/tmevideo/tme1257678.mp4
31-五月天-纯真,http://em.21dtv.com/songs/60013405.mkv
32-九九+苏梦玫-青苹果乐园,http://em.21dtv.com/songs/60081540.mkv
33-任贤齐+周华健-天才白痴梦演唱会,http://em.21dtv.com/songs/60041753.mkv
34-任贤齐+李宗盛-鬼迷心窍,http://em.21dtv.com/songs/60019402.mkv
35-伍佰-世界第一等演唱会,http://em.21dtv.com/songs/60039260.mkv
36-伍佰-挪威的森林演唱会,http://em.21dtv.com/songs/60032810.mkv
37-伍佰-突然的自我演唱会,http://em.21dtv.com/songs/60042927.mkv
38-任贤齐-如果没有你演唱会,http://em.21dtv.com/songs/60036824.mkv
39-伍思凯-想念演唱会,http://em.21dtv.com/songs/60049176.mkv
40-佚名-你走你的路,http://em.21dtv.com/songs/60032578.mkv
41-伍佰-钢铁男子演唱会,http://em.21dtv.com/songs/60018154.mkv
42-伍佰-美丽新世界演唱会,http://em.21dtv.com/songs/60029283.mkv
43-作酒,http://mobi.kuwo.cn/tmevideo/tme16186338.mp4
44-佚名-绿岛小夜曲慢四,http://em.21dtv.com/songs/60028154.mkv
45-依婷爱拼才会赢,http://vd3.bdstatic.com/mda-jfreugw1pcza8xr1/mda-jfreugw1pcza8xr1.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
46-你的万水千山,http://mobi.kuwo.cn/tmevideo/tme1257697.mp4
47-佚名-雨中即景,http://em.21dtv.com/songs/60055754.mkv
48-俞灏明-亲爱的小孩,http://em.21dtv.com/songs/60098115.mkv
49-侧田-迟钝演唱会,http://em.21dtv.com/songs/60012780.mkv
50-侧田-千亿个夜晚演唱会,http://em.21dtv.com/songs/60034179.mkv
51-光良+曹格-少年,http://em.21dtv.com/songs/60038120.mkv
52-关淑怡-梦伴演唱会,http://em.21dtv.com/songs/60029476.mkv
53-关淑怡-恋一世的爱演唱会,http://em.21dtv.com/songs/60027152.mkv
54-关淑怡-缱绻星光下演唱会,http://em.21dtv.com/songs/60034339.mkv
55-关淑怡-难得有情人演唱会,http://em.21dtv.com/songs/60031205.mkv
56-关淑怡-缱绻星光下,http://em.21dtv.com/songs/60034341.mkv
57-冷漠-不要再说你还爱我,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_911272&response=res&format=mp4&type=convert_url
58-冷漠-你把爱情给了谁,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1210771&response=res&format=mp4&type=convert_url
59-冯玉玺-每个人都会演唱会,http://em.21dtv.com/songs/60062354.mkv
60-冷漠-别把寂寞当缘分,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6210858&response=res&format=mp4&type=convert_url
61-冷漠-再爱也没有用,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_5834217&response=res&format=mp4&type=convert_url
62-冷漠-古咖啡,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_3142984&response=res&format=mp4&type=convert_url
63-冷漠-多情的人不该相遇,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1041689&response=res&format=mp4&type=convert_url
64-冷漠-我是否也在你心中,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_4378249&response=res&format=mp4&type=convert_url
65-冷漠-时光海湾,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_9867444&response=res&format=mp4&type=convert_url
66-冷漠-真不是闹着玩,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_22836669&response=res&format=mp4&type=convert_url
67-冷漠-谁都不要说分手,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_12975393&response=res&format=mp4&type=convert_url
68-凤凰传奇-中国味道,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042021&response=res&format=mp4&type=convert_url
69-凤凰传奇-今生的缘,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_646024&response=res&format=mp4&type=convert_url
70-凤凰传奇-光芒,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042019&response=res&format=mp4&type=convert_url
71-凤凰传奇-华夏传说,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_40828850&response=res&format=mp4&type=convert_url
72-凤凰传奇-奇迹世界,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_954805&response=res&format=mp4&type=convert_url
73-凤凰传奇-奢香夫人,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_51674527&response=res&format=mp4&type=convert_url
74-凤凰传奇-御龙归字谣,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1164118&response=res&format=mp4&type=convert_url
75-凤凰传奇-月亮之上,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_7084968&response=res&format=mp4&type=convert_url
76-凤凰传奇-歌唱二小放牛郎,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_8120530&response=res&format=mp4&type=convert_url
77-凤凰传奇-温柔姑娘,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6401404&response=res&format=mp4&type=convert_url
78-凤凰传奇-策马奔腾,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042013&response=res&format=mp4&type=convert_url
79-冯允谦-每个人都会演唱会,http://em.21dtv.com/songs/60083370.mkv
80-凤凰传奇-自由飞翔,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_18747906&response=res&format=mp4&type=convert_url
81-凤凰传奇-自由自在,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042025&response=res&format=mp4&type=convert_url
82-凤凰传奇-荷塘月色,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1565837&response=res&format=mp4&type=convert_url
83-刀郎-沙枣花儿香演唱会,http://em.21dtv.com/songs/60037482.mkv
84-刘德华+林子祥-每一个晚上演唱会,http://em.21dtv.com/songs/60029089.mkv
85-刘德华-世界第一等演唱会,http://em.21dtv.com/songs/60039259.mkv
86-刘德华-十年演唱会,http://em.21dtv.com/songs/60038982.mkv
87-刘德华-亲爱的小孩,http://em.21dtv.com/songs/60069725.mkv
88-刘德华-世界第一等,http://em.21dtv.com/songs/60039261.mkv
89-刘德华-如果有一天演唱会,http://em.21dtv.com/songs/60036969.mkv
90-刘德华-开心的马骝演唱会,http://em.21dtv.com/songs/60025029.mkv
91-刘德华-缠绵演唱会,http://em.21dtv.com/songs/60012256.mkv
92-刘德华-美丽的一天,http://em.21dtv.com/songs/60029247.mkv
93-刘德华-漫步人生路,http://em.21dtv.com/songs/60070906.mkv
94-刘心-亲爱的小孩演唱会,http://em.21dtv.com/songs/60071054.mkv
95-刘惜君-万水千山总是情,http://em.21dtv.com/songs/60043311.mkv
96-刘若英-绿岛小夜曲演唱会,http://em.21dtv.com/songs/60028155.mkv
97-卓依婷橄榄树,http://vd3.bdstatic.com/mda-jfagwdhxb30ymr13/mda-jfagwdhxb30ymr13.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
98-卓依婷鲁冰花,http://vd3.bdstatic.com/mda-jf8fbjprnf1fvpxm/mda-jf8fbjprnf1fvpxm.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
99-华晨宇-亲爱的小孩,http://em.21dtv.com/songs/60105668.mkv
100-动力火车-热情的沙漠演唱会,http://em.21dtv.com/songs/60036260.mkv
101-印度歌舞1,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAguOCe9wUotr-RqQU.mp4
102-动力火车+迪克牛仔-一样的月光演唱会,http://em.21dtv.com/songs/60053816.mkv
103-卫兰-傻女演唱会,http://em.21dtv.com/songs/60037533.mkv
104-印度歌舞2,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAguuCe9wUoyKfU-gI.mp4
105-印度歌舞3,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgl_Ce9wUo6t-WdQ.mp4
106-印度歌舞4,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmeCe9wUoiJmTxgc.mp4
107-印度歌舞5,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgj_Ce9wUoqtHxJQ.mp4
108-印度歌舞6,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmuCe9wUokNHLuAQ.mp4
109-卫诗-傻女演唱会,http://em.21dtv.com/songs/60037534.mkv
110-印度歌舞7,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgneCe9wUouKLe8Ac.mp4
111-印度歌舞9,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3N_e9wUogdbOaQ.mp4
112-印度歌舞10,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1t_e9wUouM_i8wM.mp4
113-印度神曲B,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg45qY9wUonJT41gc.mp4
114-印度神曲C,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAgvZ6k4wUo0cGkhgQ.mp4
115-印度神曲D,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAghrTW4gUojKzXlwI.mp4
116-古巨基-年年有今日演唱会,http://em.21dtv.com/songs/60032632.mkv
117-古巨基+李泉-热情的沙漠,http://em.21dtv.com/songs/60098177.mkv
118-叶丽仪-今宵多珍重演唱会,http://em.21dtv.com/songs/60023927.mkv
119-叶丽仪-情人的眼泪演唱会,http://em.21dtv.com/songs/60035198.mkv
120-古巨基+侧田-年年有今日演唱会,http://em.21dtv.com/songs/60032631.mkv
121-叶倩文-我的爱对你说,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/7xXG24i7EbZtCTOtSnh%40%40sd.m3u8
122-叶倩文-曾经心痛,http://vodcdn.video.taobao.com/oss/ali-video/0ea34400f2502a94ee14aea506e0042b/video.m3u8
123-叶倩文-冲动演唱会,http://em.21dtv.com/songs/60012844.mkv
124-叶倩文+陈奕迅-女人的眼泪演唱会,http://em.21dtv.com/songs/60032929.mkv
125-叶倩文-潇洒走一回,http://vodcdn.video.taobao.com/oss/ali-video/371d75312720e701b5f3988d46cdf4ef/video.m3u8
126-叶倩文-女人的眼泪演唱会,http://em.21dtv.com/songs/60032930.mkv
127-叹这一生,http://mobi.kuwo.cn/tmevideo/tme1662018.mp4
128-叶德娴-如果没有你演唱会,http://em.21dtv.com/songs/60036825.mkv
129-叶振棠+关菊英-两忘烟水里演唱会,http://em.21dtv.com/songs/60076513.mkv
130-吕方-朋友别哭,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/qgljCDKewD8vEgOMrrt%40%40sd.m3u8
131-叹这一生,http://mobi.kuwo.cn/tmevideo/tme2033087.mp4
132-叶振棠+陈秀雯-情缘万世长演唱会,http://em.21dtv.com/songs/60035441.mkv
133-吴涤清-康定情歌演唱会,http://em.21dtv.com/songs/60067160.mkv
134-吕珊-人生满希望演唱会,http://em.21dtv.com/songs/60077357.mkv
135-吕珊+张伟文-情人的眼泪,http://em.21dtv.com/songs/60035203.mkv
136-吴涤清-万水千山总是情,http://em.21dtv.com/songs/60067505.mkv
137-吕珊-默默祝福你演唱会,http://em.21dtv.com/songs/60062732.mkv
138-吴涤清-爱的路上千万里演唱会,http://em.21dtv.com/songs/60066783.mkv
